Freq.	V(vout)
1.00000000000000e+04	(-1.93971365571308e-02dB,-7.30786947943120e+01°)
1.00230523807790e+04	(-1.94791174382316e-02dB,-7.32486425810982e+01°)
1.00461579027840e+04	(-1.95612817297791e-02dB,-7.34189922200136e+01°)
1.00693166885180e+04	(-1.96436271331389e-02dB,-7.35897447129941e+01°)
1.00925288607668e+04	(-1.97261513020641e-02dB,-7.37609010649734e+01°)
1.01157945425990e+04	(-1.98088518421557e-02dB,-7.39324622838989e+01°)
1.01391138573668e+04	(-1.98917263105144e-02dB,-7.41044293807444e+01°)
1.01624869287070e+04	(-1.99747722150257e-02dB,-7.42768033695271e+01°)
1.01859138805412e+04	(-2.00579870139558e-02dB,-7.44495852673211e+01°)
1.02093948370768e+04	(-2.01413681154616e-02dB,-7.46227760942734e+01°)
1.02329299228075e+04	(-2.02249128769432e-02dB,-7.47963768736186e+01°)
1.02565192625141e+04	(-2.03086186047170e-02dB,-7.49703886316945e+01°)
1.02801629812647e+04	(-2.03924825532665e-02dB,-7.51448123979578e+01°)
1.03038612044162e+04	(-2.04765019249072e-02dB,-7.53196492049995e+01°)
1.03276140576140e+04	(-2.05606738691604e-02dB,-7.54949000885606e+01°)
1.03514216667934e+04	(-2.06449954822394e-02dB,-7.56705660875485e+01°)
1.03752841581801e+04	(-2.07294638066247e-02dB,-7.58466482440526e+01°)
1.03992016582906e+04	(-2.08140758302789e-02dB,-7.60231476033609e+01°)
1.04231742939330e+04	(-2.08988284864406e-02dB,-7.62000652139759e+01°)
1.04472021922080e+04	(-2.09837186528198e-02dB,-7.63774021276316e+01°)
1.04712854805090e+04	(-2.10687431512515e-02dB,-7.65551593993098e+01°)
1.04954242865232e+04	(-2.11538987470595e-02dB,-7.67333380872570e+01°)
1.05196187382322e+04	(-2.12391821485453e-02dB,-7.69119392530015e+01°)
1.05438689639126e+04	(-2.13245900064498e-02dB,-7.70909639613702e+01°)
1.05681750921366e+04	(-2.14101189134225e-02dB,-7.72704132805064e+01°)
1.05925372517729e+04	(-2.14957654035052e-02dB,-7.74502882818862e+01°)
1.06169555719872e+04	(-2.15815259515650e-02dB,-7.76305900403374e+01°)
1.06414301822431e+04	(-2.16673969727544e-02dB,-7.78113196340559e+01°)
1.06659612123026e+04	(-2.17533748219538e-02dB,-7.79924781446248e+01°)
1.06905487922266e+04	(-2.18394557933429e-02dB,-7.81740666570310e+01°)
1.07151930523760e+04	(-2.19256361196942e-02dB,-7.83560862596850e+01°)
1.07398941234124e+04	(-2.20119119719686e-02dB,-7.85385380444384e+01°)
1.07646521362983e+04	(-2.20982794587334e-02dB,-7.87214231066017e+01°)
1.07894672222983e+04	(-2.21847346255268e-02dB,-7.89047425449648e+01°)
1.08143395129794e+04	(-2.22712734545796e-02dB,-7.90884974618146e+01°)
1.08392691402120e+04	(-2.23578918639446e-02dB,-7.92726889629534e+01°)
1.08642562361706e+04	(-2.24445857072647e-02dB,-7.94573181577204e+01°)
1.08893009333343e+04	(-2.25313507729893e-02dB,-7.96423861590088e+01°)
1.09144033644875e+04	(-2.26181827839845e-02dB,-7.98278940832862e+01°)
1.09395636627209e+04	(-2.27050773969846e-02dB,-8.00138430506144e+01°)
1.09647819614318e+04	(-2.27920302020287e-02dB,-8.02002341846697e+01°)
1.09900583943252e+04	(-2.28790367218814e-02dB,-8.03870686127617e+01°)
1.10153930954141e+04	(-2.29660924116792e-02dB,-8.05743474658551e+01°)
1.10407861990207e+04	(-2.30531926581528e-02dB,-8.07620718785889e+01°)
1.10662378397766e+04	(-2.31403327793562e-02dB,-8.09502429892977e+01°)
